,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser
545,December 29 2019,Sunday,1900-01-01 15:05:00,1900-01-01 17:38:00,153,1324,RIT,Guelph,Exhibition Game,2,2,Tie,Tie
546,December 29 2019,Sunday,1900-01-01 13:00:00,1900-01-01 15:33:00,153,1744,Harvard,Arizona State,Non-Conference Game,4,4,Tie,Tie
547,December 29 2019,Sunday,1900-01-01 16:05:00,1900-01-01 18:21:00,136,1903,Merrimack,Minnesota Duluth,Non-Conference Game,1,4,Away Team,Home Team
548,December 29 2019,Sunday,1900-01-01 16:00:00,1900-01-01 18:30:00,150,3063,Maine,American International,Non-Conference Game,5,1,Home Team,Away Team
549,December 29 2019,Sunday,1900-01-01 16:02:00,1900-01-01 18:12:00,130,2312,St. Lawrence,Colorado College,Non-Conference Game,3,7,Away Team,Home Team
550,December 29 2019,Sunday,1900-01-01 16:00:00,1900-01-01 18:30:00,150,2579,Providence,Union,Non-Conference Game,1,1,Tie,Tie
551,December 29 2019,Sunday,1900-01-01 16:00:00,1900-01-01 18:10:00,130,1629,Yale,McGill,Exhibition Game,4,1,Home Team,Away Team
552,December 29 2019,Sunday,1900-01-01 16:05:00,1900-01-01 18:18:00,133,472,Canisius,Holy Cross,Atlantic Hockey Conference Game,3,1,Home Team,Away Team
553,December 29 2019,Sunday,1900-01-01 16:05:00,1900-01-01 18:12:00,127,2614,Army West Point,New Hampshire,Non-Conference Game,5,4,Home Team,Away Team
554,December 29 2019,Sunday,1900-01-01 17:00:00,1900-01-01 19:18:00,138,2332,Rensselaer,Massachusetts,Non-Conference Game,3,5,Away Team,Home Team
555,December 29 2019,Sunday,1900-01-01 16:00:00,1900-01-01 18:08:00,128,6772,Minnesota State,Bemidji State,Non-Conference Game,2,0,Home Team,Away Team
556,December 29 2019,Sunday,1900-01-01 17:05:00,1900-01-01 19:07:00,122,2346,UMass Lowell,CCHL All-Stars,Exhibition Game,3,1,Home Team,Away Team
557,December 29 2019,Sunday,1900-01-01 19:05:00,1900-01-01 21:25:00,140,2885,Quinnipiac,Princeton,ECAC Hockey Conference Game,4,3,Home Team,Away Team
558,December 29 2019,Sunday,1900-01-01 19:02:00,1900-01-01 21:28:00,146,2312,Dartmouth,UConn,Non-Conference Game,4,3,Home Team,Away Team
559,December 29 2019,Sunday,1900-01-01 19:30:00,1900-01-01 21:52:00,142,2579,Vermont,Lake Superior State,Non-Conference Game,2,0,Home Team,Away Team
560,December 29 2019,Sunday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,6772,Minnesota,St. Cloud State,Non-Conference Game,4,1,Home Team,Away Team
561,December 30 2019,Monday,1900-01-01 13:07:00,1900-01-01 15:32:00,145,16139,Michigan Tech,Michigan State,Non-Conference Game,4,2,Home Team,Away Team
562,December 30 2019,Monday,1900-01-01 16:05:00,1900-01-01 18:20:00,135,1707,Merrimack,Minnesota Duluth,Non-Conference Game,1,5,Away Team,Home Team
563,December 30 2019,Monday,1900-01-01 16:07:00,1900-01-01 18:42:00,155,16139,Michigan,Ferris State,Non-Conference Game,4,1,Home Team,Away Team
564,December 30 2019,Monday,1900-01-01 19:37:00,1900-01-01 21:55:00,138,3263,Bowling Green,Miami,Non-Conference Game,2,4,Away Team,Home Team
565,December 31 2019,Tuesday,1900-01-01 11:37:00,1900-01-01 13:52:00,135,10240,Michigan State,Ferris State,Non-Conference Game,5,2,Home Team,Away Team
566,December 31 2019,Tuesday,1900-01-01 14:37:00,1900-01-01 17:07:00,150,10240,Michigan Tech,Michigan,Non-Conference Game,4,2,Home Team,Away Team
567,January 3 2020,Friday,1900-01-01 18:00:00,1900-01-01 20:50:00,170,3123,Maine,Omaha,Non-Conference Game,2,2,Tie,Tie
568,January 3 2020,Friday,1900-01-01 18:07:00,1900-01-01 20:29:00,142,1912,Bowling Green,Northern Michigan,WCHA Conference Game,2,5,Away Team,Home Team
569,January 3 2020,Friday,1900-01-01 19:00:00,1900-01-01 21:05:00,125,2468,Clarkson,Rensselaer,ECAC Hockey Conference Game,1,3,Away Team,Home Team
570,January 3 2020,Friday,1900-01-01 19:02:00,1900-01-01 21:15:00,133,1807,Princeton,Dartmouth,ECAC Hockey Conference Game,3,4,Away Team,Home Team
571,January 3 2020,Friday,1900-01-01 19:05:00,1900-01-01 21:31:00,146,2840,Quinnipiac,Harvard,ECAC Hockey Conference Game,6,1,Home Team,Away Team
572,January 3 2020,Friday,1900-01-01 19:00:00,1900-01-01 21:28:00,148,421,St. Lawrence,Union,ECAC Hockey Conference Game,4,5,Away Team,Home Team
573,January 3 2020,Friday,1900-01-01 19:10:00,1900-01-01 21:40:00,150,5247,Notre Dame,Western Michigan,Non-Conference Game,1,1,Tie,Tie
574,January 3 2020,Friday,1900-01-01 19:07:00,1900-01-01 21:12:00,125,5497,Penn State,Niagara,Non-Conference Game,3,2,Home Team,Away Team
575,January 3 2020,Friday,1900-01-01 19:00:00,1900-01-01 21:13:00,133,3575,New Hampshire,Yale,Non-Conference Game,4,1,Home Team,Away Team
576,January 3 2020,Friday,1900-01-01 19:00:00,1900-01-01 21:46:00,166,1679,USA Under-18 Team,Boston University,Exhibition Game,1,3,Away Team,Home Team
577,January 3 2020,Friday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,668,Holy Cross,Mercyhurst,Atlantic Hockey Conference Game,4,0,Home Team,Away Team
578,January 3 2020,Friday,1900-01-01 19:05:00,1900-01-01 21:39:00,154,1620,RIT,Canisius,Atlantic Hockey Conference Game,1,1,Tie,Tie
579,January 3 2020,Friday,1900-01-01 19:05:00,1900-01-01 21:23:00,138,4027,UConn,Northeastern,Hockey East Conference Game,2,5,Away Team,Home Team
580,January 3 2020,Friday,1900-01-01 17:05:00,1900-01-01 19:30:00,145,3735,Providence,Army West Point,Non-Conference Game,3,1,Home Team,Away Team
581,January 3 2020,Friday,1900-01-01 19:07:00,1900-01-01 21:17:00,130,2317,Bemidji State,Ferris State,WCHA Conference Game,5,2,Home Team,Away Team
582,January 3 2020,Friday,1900-01-01 19:07:00,1900-01-01 21:22:00,135,3554,Minnesota State,Alaska,WCHA Conference Game,4,0,Home Team,Away Team
583,January 3 2020,Friday,1900-01-01 19:37:00,1900-01-01 22:04:00,147,11214,North Dakota,Alabama Huntsville,Non-Conference Game,5,2,Home Team,Away Team
584,January 3 2020,Friday,1900-01-01 19:05:00,1900-01-01 21:18:00,133,1779,Air Force,American International,Atlantic Hockey Conference Game,4,1,Home Team,Away Team
585,January 3 2020,Friday,1900-01-01 19:07:00,1900-01-01 21:27:00,140,6017,Denver,Massachusetts,Non-Conference Game,4,2,Home Team,Away Team
586,January 3 2020,Friday,1900-01-01 20:35:00,1900-01-01 22:52:00,137,3735,Ohio State,Cornell,Non-Conference Game,2,5,Away Team,Home Team
587,January 4 2020,Saturday,1900-01-01 12:00:00,1900-01-01 14:31:00,151,3900,Maine,Omaha,Non-Conference Game,3,2,Home Team,Away Team
588,January 4 2020,Saturday,1900-01-01 16:32:00,1900-01-01 18:55:00,143,6572,Boston College,Vermont,Hockey East Conference Game,8,3,Home Team,Away Team
589,January 4 2020,Saturday,1900-01-01 17:05:00,1900-01-01 19:20:00,135,2142,Merrimack,UMass Lowell,Hockey East Conference Game,1,3,Away Team,Home Team
590,January 4 2020,Saturday,1900-01-01 18:07:00,1900-01-01 20:24:00,137,5819,Penn State,Niagara,Non-Conference Game,2,0,Home Team,Away Team
591,January 4 2020,Saturday,1900-01-01 19:00:00,1900-01-01 21:17:00,137,2463,Clarkson,Union,ECAC Hockey Conference Game,2,0,Home Team,Away Team
592,January 4 2020,Saturday,1900-01-01 19:02:00,1900-01-01 21:22:00,140,2442,Princeton,Harvard,ECAC Hockey Conference Game,3,3,Tie,Tie
593,January 4 2020,Saturday,1900-01-01 19:05:00,1900-01-01 21:19:00,134,2757,Quinnipiac,Dartmouth,ECAC Hockey Conference Game,5,1,Home Team,Away Team
594,January 4 2020,Saturday,1900-01-01 19:00:00,1900-01-01 21:13:00,133,502,St. Lawrence,Rensselaer,ECAC Hockey Conference Game,0,3,Away Team,Home Team
595,January 4 2020,Saturday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,3241,New Hampshire,Brown,Non-Conference Game,5,1,Home Team,Away Team
596,January 4 2020,Saturday,1900-01-01 17:05:00,1900-01-01 19:14:00,129,1704,Air Force,American International,Atlantic Hockey Conference Game,1,5,Away Team,Home Team
597,January 4 2020,Saturday,1900-01-01 19:05:00,1900-01-01 20:18:00,73,437,Holy Cross,Mercyhurst,Atlantic Hockey Conference Game,7,2,Home Team,Away Team
598,January 4 2020,Saturday,1900-01-01 19:07:00,1900-01-01 21:45:00,158,2113,Bowling Green,Northern Michigan,WCHA Conference Game,3,4,Away Team,Home Team
599,January 4 2020,Saturday,1900-01-01 18:07:00,1900-01-01 20:27:00,140,3127,Bemidji State,Ferris State,WCHA Conference Game,4,1,Home Team,Away Team
600,January 4 2020,Saturday,1900-01-01 18:07:00,1900-01-01 20:23:00,136,4065,Minnesota State,Alaska,WCHA Conference Game,3,1,Home Team,Away Team
601,January 4 2020,Saturday,1900-01-01 19:35:00,1900-01-01 21:55:00,140,569,Canisius,RIT,Atlantic Hockey Conference Game,5,3,Home Team,Away Team
602,January 4 2020,Saturday,1900-01-01 19:07:00,1900-01-01 21:30:00,143,11760,North Dakota,Alabama Huntsville,Non-Conference Game,5,2,Home Team,Away Team
603,January 4 2020,Saturday,1900-01-01 17:30:00,1900-01-01 20:25:00,175,0,Providence,Cornell,Non-Conference Game,2,2,Tie,Tie
604,January 4 2020,Saturday,1900-01-01 19:05:00,1900-01-01 21:19:00,134,768,Arizona State,Michigan Tech,Non-Conference Game,4,3,Home Team,Away Team
605,January 4 2020,Saturday,1900-01-01 17:07:00,1900-01-01 19:21:00,134,725,Alaska Anchorage,Lake Superior State,WCHA Conference Game,2,0,Home Team,Away Team
606,January 4 2020,Saturday,1900-01-01 19:07:00,1900-01-01 21:47:00,160,5986,Denver,Massachusetts,Non-Conference Game,4,3,Home Team,Away Team
607,January 4 2020,Saturday,1900-01-01 21:05:00,1900-01-01 23:37:00,152,4769,Army West Point,Ohio State,Non-Conference Game,1,2,Away Team,Home Team
