,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser,gameLoc_type,location,Team,Arena,Capacity,Sheet Size,Unnamed: 4,0,Attendance%
147,October 24 2014,Friday,1900-01-01 19:07:00,1900-01-01 21:28:00,141,2002,Ferris State,Michigan Tech,WCHA Conference Game,0,1,Away Team,Home Team,home/away game,Ferris State,Ferris State,Ewigleben Ice Arena,2457.0,200x85,Map,85,0.8148148148148148
148,October 24 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:33:00,148,3308,Western Michigan,Alaska,Non-Conference Game,0,1,Away Team,Home Team,home/away game,Western Michigan,Western Michigan,Lawson Ice Arena,3667.0,200x85,Map,85,0.9020998091082629
149,October 24 2014,Friday,1900-01-01 19:30:00,1900-01-01 21:49:00,139,5833,Boston College,Colorado College,Non-Conference Game,6,2,Home Team,Away Team,home/away game,Boston College,Boston College,Conte Forum (Kelley Rink),7884.0,200x87,Map,87,0.7398528665651953
150,October 24 2014,Friday,1900-01-01 19:35:00,1900-01-01 21:50:00,135,4639,Boston University,Michigan State,Non-Conference Game,1,0,Home Team,Away Team,home/away game,Boston University,Boston University,Agganis Arena,6300.0,200x90,Map,90,0.7363492063492063
151,October 24 2014,Friday,1900-01-01 19:35:00,1900-01-01 21:50:00,135,2589,Miami,St. Lawrence,Non-Conference Game,4,5,Away Team,Home Team,home/away game,Miami,Miami,Goggin Ice Center (Steve Cady Rink),3642.0,200x85,Map,85,0.7108731466227347
152,October 24 2014,Friday,1900-01-01 19:35:00,1900-01-01 21:58:00,143,4194,Notre Dame,Niagara,Non-Conference Game,6,3,Home Team,Away Team,home/away game,Notre Dame,Notre Dame,Compton Family Ice Arena,5022.0,200x95,Map,95,0.8351254480286738
153,October 24 2014,Friday,1900-01-01 19:37:00,1900-01-01 21:50:00,133,2289,Lake Superior State,Northern Michigan,WCHA Conference Game,2,4,Away Team,Home Team,home/away game,Lake Superior State,Lake Superior State,Taffy Abel Arena,3373.0,200x85,Map,85,0.6786243699970352
154,October 24 2014,Friday,1900-01-01 19:07:00,1900-01-01 21:27:00,140,6112,Minnesota Duluth,Denver,National Collegiate Hockey Conference Conference Game,1,3,Away Team,Home Team,home/away game,Minnesota Duluth,Minnesota Duluth,AMSOIL Arena,6800.0,200x85,Map,85,0.8988235294117647
155,October 24 2014,Friday,1900-01-01 19:07:00,1900-01-01 21:24:00,137,3171,Minnesota State,Alabama Huntsville,WCHA Conference Game,3,1,Home Team,Away Team,home/away game,Minnesota State,Minnesota State,Verizon Wireless Center,5280.0,200x90,Map,90,0.6005681818181818
156,October 24 2014,Friday,1900-01-01 19:37:00,1900-01-01 21:47:00,130,11525,North Dakota,Providence,Non-Conference Game,6,1,Home Team,Away Team,home/away game,North Dakota,North Dakota,Ralph Engelstad Arena,11500.0,200x85,Map,85,1.0021739130434784
157,October 24 2014,Friday,1900-01-01 20:12:00,1900-01-01 22:28:00,136,9579,Minnesota,Bemidji State,Non-Conference Game,5,2,Home Team,Away Team,home/away game,Minnesota,Minnesota,3M Arena at Mariucci,10000.0,200x100,Map,100,0.9579
158,October 24 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:22:00,137,2319,Air Force,RIT,Atlantic Hockey Conference Game,1,5,Away Team,Home Team,home/away game,Air Force,Air Force,Cadet Ice Arena,2470.0,200x85,Map,85,0.9388663967611336
159,October 25 2014,Saturday,1900-01-01 15:05:00,1900-01-01 17:20:00,135,248,Sacred Heart,Colgate,Non-Conference Game,2,4,Away Team,Home Team,home/away game,Sacred Heart,Sacred Heart,Webster Bank Arena,8525.0,200x85,Map,85,0.02909090909090909
160,October 25 2014,Saturday,1900-01-01 19:00:00,1900-01-01 21:22:00,142,4908,Boston College,Massachusetts,Hockey East Conference Game,4,1,Home Team,Away Team,home/away game,Boston College,Boston College,Conte Forum (Kelley Rink),7884.0,200x87,Map,87,0.6225266362252664
161,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:26:00,141,4010,Maine,Alaska Anchorage,Non-Conference Game,3,3,Tie,Tie,home/away game,Maine,Maine,Alfond Arena,5641.0,200x85,Map,85,0.7108668675766708
162,October 25 2014,Saturday,1900-01-01 19:00:00,1900-01-01 20:55:00,115,3532,Rensselaer,Bentley,Non-Conference Game,0,4,Away Team,Home Team,home/away game,Rensselaer,Rensselaer,Houston Field House,4780.0,200x85,Map,85,0.7389121338912134
163,October 25 2014,Saturday,1900-01-01 19:00:00,1900-01-01 21:15:00,135,2391,Union,St. Cloud State,Non-Conference Game,2,3,Away Team,Home Team,home/away game,Union,Union,Achilles Center,2504.0,200x85,Map,85,0.9548722044728435
164,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:18:00,133,5335,UMass Lowell,Michigan State,Non-Conference Game,2,1,Home Team,Away Team,home/away game,UMass Lowell,UMass Lowell,Tsongas Center,6496.0,200x85,Map,85,0.8212746305418719
165,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:21:00,136,6501,New Hampshire,Colorado College,Non-Conference Game,6,2,Home Team,Away Team,home/away game,New Hampshire,New Hampshire,Whittemore Center,6501.0,200x100,Map,100,1.0
166,October 25 2014,Saturday,1900-01-01 19:03:00,1900-01-01 21:17:00,134,3876,Cornell,Carleton,Exhibition Game,3,2,Home Team,Away Team,home/away game,Cornell,Cornell,Lynah Rink,4300.0,200x85,Map,85,0.9013953488372093
167,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 20:57:00,112,478,Dartmouth,Alberta,Exhibition Game,1,6,Away Team,Home Team,home/away game,Dartmouth,Dartmouth,Thompson Arena,4500.0,200x90,Map,90,0.10622222222222222
168,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:09:00,124,127,American International,Canisius,Atlantic Hockey Conference Game,2,4,Away Team,Home Team,home/away game,American International,American International,MassMutual Center,6866.0,200x85,Map,85,0.018496941450626275
169,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:30:00,145,1214,Army,Robert Morris,Atlantic Hockey Conference Game,3,3,Tie,Tie,home/away game,Army,,,,,,,
170,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:00:00,115,4007,Vermont,Connecticut,Hockey East Conference Game,2,1,Home Team,Away Team,home/away game,Vermont,Vermont,Gutterson Fieldhouse,4003.0,200x90,Map,90,1.0009992505620784
