,#,Name,Class/Position,Class/Position.1,Height,Weight,YOB,Hometown / Last Team,Yr / Pos,Yr / Pos.1,S/C,Yr / Pos,Yr / Pos.1,Hometown,City,State
25,#33,Nate Ziegelmann,,,9-May,180,82,"Grand Forks, North Dakota / Lincoln (USHL)",,,L,FR,G,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
1,#2,Matt Greene (EDM),,,3-Jun,224,83,"Grand Ledge, Michigan / Green Bay (USHL)",,,R,JR,D,"Grand Ledge, Michigan ",Grand Ledge, Michigan 
2,#3,Matt Jones (PHO),,,Jun-00,218,83,"Lisle, Illinois / Green Bay (USHL)",,,L,SR,RD/LD,"Lisle, Illinois ",Lisle, Illinois 
4,#6,Andy Schneider (PIT),,,Jun-00,215,81,"Grand Forks, North Dakota / Lincoln (USHL)",,,L,SR,D,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
5,#8,Nick Fuher,,,2-Jun,190,81,"Grand Forks, North Dakota / Lincoln (USHL)",,,L,SR,D,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
6,#9,Quinn Fylling,,,11-May,188,82,"Minot, North Dakota / Sioux Falls (USHL)",,,R,SR,F,"Minot, North Dakota ",Minot, North Dakota 
7,#10,Rory McMahon,,,1-Jun,185,82,"Perdue, Saskatchewan / Penticton (BCHL)",,,R,SR,C,"Perdue, Saskatchewan ",Perdue, Saskatchewan 
10,#14,Brady Murray (LAK),,,9-May,180,84,"Brandon, Manitoba / Salmon Arm (BCHL)",,,R,SO,F,"Brandon, Manitoba ",Brandon, Manitoba 
15,#20,James Massen (NJD),,,2-Jun,219,82,"Bismarck, North Dakota / Sioux Falls (USHL)",,,R,SR,F,"Bismarck, North Dakota ",Bismarck, North Dakota 
17,#22,Brian Canady,,,1-Jun,195,80,"Kenai, Alaska / Waterloo (USHL)",,,R,SR,F,"Kenai, Alaska ",Kenai, Alaska 
22,#29,Colby Genoway,,,1-Jun,201,83,"Morden, Manitoba / Winkler (MJHL)",,,R,SR,F,"Morden, Manitoba ",Morden, Manitoba 
23,#30,Jake Brandt,,,9-May,167,81,"Roseau, Minnesota / Lincoln (USHL)",,,L,SR,G,"Roseau, Minnesota ",Roseau, Minnesota 
0,#1,Jordan Parise,,,11-May,190,82,"Faribault, Minnesota / Waterloo (USHL)",,,L,JR,G,"Faribault, Minnesota ",Faribault, Minnesota 
