,#,Name,Class/Position,Class/Position.1,Height,Weight,YOB,Hometown / Last Team,Yr / Pos,Yr / Pos.1,S/C,Yr / Pos,Yr / Pos.1,Hometown,City,State
15,#21,Danys Chartrand,,,2-Jun,191,94,"Winnipeg, Manitoba / Flin Flon (SJHL)",,,L,SO,D,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
22,#30,Matt Hrynkiw,,,10-May,182,92,"Saskatoon, Saskatchewan / Humboldt (SJHL)",,,L,SR,G,"Saskatoon, Saskatchewan ",Saskatoon, Saskatchewan 
23,#31,Matej Tomek (PHI),,,2-Jun,179,97,"Bratislava, Slovakia / Topeka (NAHL)",,,L,SO,G,"Bratislava, Slovakia ",Bratislava, Slovakia 
9,#10,Johnny Simonson,,,10-May,173,93,"Grand Forks, North Dakota / Lincoln (USHL)",,,L,SR,F,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
10,#11,Trevor Olson,,,2-Jun,200,93,"Duluth, Minnesota / Sioux City (USHL)",,,R,SR,F,"Duluth, Minnesota ",Duluth, Minnesota 
11,#14,Austin Poganski (STL),,,2-Jun,210,96,"St. Cloud, Minnesota / Tri-City (USHL)",,,R,SR,F,"St. Cloud, Minnesota ",St. Cloud, Minnesota 
14,#19,Shane Gersich (WSH),,,11-May,183,96,"Chaska, Minnesota / Omaha (USHL)",,,L,JR,F,"Chaska, Minnesota ",Chaska, Minnesota 
17,#24,Christian Wolanin (OTT),,,1-Jun,187,95,"Detroit, Michigan / Muskegon (USHL)",,,L,JR,D,"Detroit, Michigan ",Detroit, Michigan 
23,#33,Cam Johnson,,,1-Jun,205,94,"Flint, Michigan / Waterloo (USHL)",,,L,SR,G,"Flint, Michigan ",Flint, Michigan 
7,#8,Nick Jones,,,11-May,189,96,"Edmonton, Alberta / Penticton (BCHL) Previous College: Ohio State (2015-16)",,,R,SR,F,"Edmonton, Alberta ",Edmonton, Alberta 
17,#22,Rhett Gardner (DAL),,,3-Jun,207,96,"Moose Jaw, Saskatchewan / Okotoks (AJHL)",,,L,SR,F,"Moose Jaw, Saskatchewan ",Moose Jaw, Saskatchewan 
19,#25,Joel Janatuinen,,,Jun-00,189,95,"Espoo, Finland / Sioux City (USHL)",,,L,SR,F,"Espoo, Finland ",Espoo, Finland 
21,#27,Ludvig Hoff,,,10-May,191,96,"Oslo, Norway / Lincoln (USHL)",,,L,JR,F,"Oslo, Norway ",Oslo, Norway 
22,#28,Hayden Shaw,,,11-May,198,96,"Woodbury, Minnesota / Dubuque (USHL)",,,L,SR,D,"Woodbury, Minnesota ",Woodbury, Minnesota 
26,#35,Ryan Anderson,,,2-Jun,205,95,"Roseau, Minnesota / Minnesota (NAHL)",,,L,SR,G,"Roseau, Minnesota ",Roseau, Minnesota 
3,#4,Andrew Peski,,,Jun-00,209,97,"Ottawa, Ontario / Tri-City (USHL)",,,R,SR,D,"Ottawa, Ontario ",Ottawa, Ontario 
4,#5,Casey Johnson,,,2-Jun,203,96,"Grand Forks, North Dakota / Dubuque (USHL)",,,L,SR,F/D,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
5,#6,Colton Poolman,,,1-Jun,195,95,"East Grand Forks, Minnesota / Penticton (BCHL)",,,L,SR,D,"East Grand Forks, Minnesota ",East Grand Forks, Minnesota 
6,#7,Zach Yon,,,Jun-00,195,95,"Roseau, Minnesota / Waterloo (USHL)",,,L,SR,F,"Roseau, Minnesota ",Roseau, Minnesota 
8,#9,Dixon Bowen,,,11-May,187,96,"East Grand Forks, Minnesota / Penticton (BCHL)",,,R,SR,F,"East Grand Forks, Minnesota ",East Grand Forks, Minnesota 
10,#11,Westin Michaud,,,9-May,175,95,"Cloquet, Minnesota / Sioux Falls (USHL) Previous College: Colorado College (2018-19)",,,L,SR,F,"Cloquet, Minnesota ",Cloquet, Minnesota 
15,#17,Jonny Tychonick (OTT),,,10-May,177,0,"Calgary, Alberta / Penticton (BCHL)",,,L,SO,D,"Calgary, Alberta ",Calgary, Alberta 
22,#26,Cole Smith,,,3-Jun,197,95,"Brainerd, Minnesota / Steinbach (MJHL)",,,L,SR,F,"Brainerd, Minnesota ",Brainerd, Minnesota 
0,#1,Peter Thome (CLB),,,4-Jun,205,97,"Minneapolis, Minnesota / Waterloo (USHL)",,,L,SR,G,"Minneapolis, Minnesota ",Minneapolis, Minnesota 
1,#2,Gabe Bast,,,10-May,195,96,"Red Deer, Alberta / Penticton (BCHL)",,,R,SR,D,"Red Deer, Alberta ",Red Deer, Alberta 
2,#3,Matt Kiersted,,,Jun-00,186,98,"Elk River, Minnesota / Chicago (USHL)",,,L,SR,D,"Elk River, Minnesota ",Elk River, Minnesota 
3,#4,Cooper Moore (DET),,,1-Jun,182,1,"Cos Cob, Connecticut / Chilliwack (BCHL)",,,L,FR,D,"Cos Cob, Connecticut ",Cos Cob, Connecticut 
4,#8,Harrison Blaisdell (WPG),,,11-May,190,1,"Regina, Saskatchewan / Chilliwack (BCHL)",,,L,SO,F,"Regina, Saskatchewan ",Regina, Saskatchewan 
5,#9,Brendan Budy,,,10-May,180,0,"Langley, British Columbia / Langley (BCHL) Previous College: Denver (2018-19)",,,L,SO,F,"Langley, British Columbia ",Langley, British Columbia 
6,#10,Gavin Hain (PHI),,,Jun-00,197,0,"Grand Rapids, Minnesota / U.S. Under-18 (NTDP)",,,L,JR,F,"Grand Rapids, Minnesota ",Grand Rapids, Minnesota 
7,#11,Griffin Ness,,,11-May,174,99,"Wayzata, Minnesota / Waterloo (USHL)",,,R,FR,F,"Wayzata, Minnesota ",Wayzata, Minnesota 
8,#13,Carson Albrecht,,,10-May,192,98,"Martensville, Saskatchewan / Melfort (SJHL)",,,R,SO,F,"Martensville, Saskatchewan ",Martensville, Saskatchewan 
9,#14,Jasper Weatherby (SJS),,,3-Jun,206,98,"Ashland, Oregon / Wenatchee (BCHL)",,,L,JR,F,"Ashland, Oregon ",Ashland, Oregon 
10,#15,Ethan Frisch,,,11-May,190,0,"Moorhead, Minnesota / Fargo (USHL)",,,R,SO,D,"Moorhead, Minnesota ",Moorhead, Minnesota 
11,#16,Grant Mismash (NSH),,,1-Jun,195,99,"Edina, Minnesota / U.S. Under-18 (NTDP)",,,L,SR,F,"Edina, Minnesota ",Edina, Minnesota 
12,#17,Riese Gaber,,,8-May,161,99,"Gilbert Plains, Manitoba / Dubuque (USHL)",,,R,FR,F,"Gilbert Plains, Manitoba ",Gilbert Plains, Manitoba 
13,#18,Collin Adams (NYI),,,9-May,188,98,"Brighton, Michigan / Muskegon (USHL)",,,L,SR,F,"Brighton, Michigan ",Brighton, Michigan 
14,#19,Mark Senden,,,9-May,190,98,"Medina, Minnesota / Fargo (USHL)",,,L,JR,F,"Medina, Minnesota ",Medina, Minnesota 
15,#20,Josh Rieger,,,Jun-00,195,96,"Regina, Saskatchewan / Estevan (SJHL)",,,R,SR,D,"Regina, Saskatchewan ",Regina, Saskatchewan 
16,#21,Jackson Keane,,,9-May,165,97,"Winnipeg, Manitoba / Penticton (BCHL)",,,L,SR,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
17,#22,Shane Pinto (OTT),,,2-Jun,195,0,"Franklin Square, New York / Tri-City (USHL)",,,R,SO,F,"Franklin Square, New York ",Franklin Square, New York 
18,#24,Jacob Bernard-Docker (OTT),,,Jun-00,185,0,"Canmore, Alberta / Okotoks (AJHL)",,,R,JR,D,"Canmore, Alberta ",Canmore, Alberta 
19,#25,Tyler Kleven (OTT),,,4-Jun,198,2,"Fargo, North Dakota / U.S. Under-18 (NTDP)",,,L,FR,D,"Fargo, North Dakota ",Fargo, North Dakota 
20,#26,Jake Sanderson (OTT),,,Jun-00,183,2,"Whitefish, Montana / U.S. Under-18 (NTDP)",,,L,FR,D,"Whitefish, Montana ",Whitefish, Montana 
21,#28,Judd Caulfield (PIT),,,4-Jun,205,1,"Grand Forks, North Dakota / U.S. Under-18 (NTDP)",,,R,SO,F,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
22,#29,Jordan Kawaguchi,,,9-May,180,97,"Abbotsford, British Columbia / Chilliwack (BCHL)",,,L,SR,F,"Abbotsford, British Columbia ",Abbotsford, British Columbia 
23,#31,Adam Scheel,,,3-Jun,197,99,"Lakewood, Ohio / Penticton (BCHL)",,,L,JR,G,"Lakewood, Ohio ",Lakewood, Ohio 
24,#35,Harrison Feeney,,,2-Jun,220,98,"Lafayette Hill, Pennsylvania / Lone Star (NAHL)",,,L,SO,G,"Lafayette Hill, Pennsylvania ",Lafayette Hill, Pennsylvania 
